"species","lon","lat"
"species",19.4,42.7
"species",26.53,41.3
"species",4.79,52.32
"species",5.21,52.11
"species",4.27,51.99
"species",4.29,51.86
"species",5.56,51.68
"species",4.56,51.56
"species",4.12,51.21
"species",5.87,51.19
"species",16.59,49.12
"species",-0.36,49.09
"species",2.1,49.08
"species",21.29,48.68
"species",2.98,48.62
"species",0.06,48.58
"species",7.8,47.99
"species",11.97,47.87
"species",7.77,47.71
"species",16.26,47.14
"species",5.73,46.78
"species",4.54,46.66
"species",0.55,46.61
"species",9.94,46.32
"species",12.21,46.28
"species",8.77,46.22
"species",13.11,46.15
"species",8.3,46.12
"species",12.66,46.1
"species",11.21,46.1
"species",13.76,46.1
"species",14.6,46.06
"species",5.45,46.06
"species",6.43,46.05
"species",9.17,45.94
"species",9.39,45.9
"species",4.7,45.88
"species",13.45,45.86
"species",8.81,45.84
"species",12.21,45.81
"species",16.01,45.79
"species",10.34,45.78
"species",9.85,45.76
"species",13.75,45.69
"species",14.31,45.68
"species",13.99,45.64
"species",11.49,45.63
"species",12.54,45.58
"species",8.58,45.58
"species",8.11,45.57
"species",8.35,45.55
"species",6.4,45.5
"species",9.13,45.45
"species",11.06,45.44
"species",11.8,45.39
"species",5.55,45.29
"species",9.61,45.26
"species",10.02,45.22
"species",10.87,45.17
"species",7.39,45.16
"species",13.86,45.14
"species",14.68,45.06
"species",9.02,45.04
"species",11.86,44.98
"species",19.67,44.92
"species",-0.47,44.88
"species",9.64,44.85
"species",8.66,44.84
"species",8.2,44.83
"species",4.37,44.82
"species",11.82,44.77
"species",5.24,44.73
"species",9.97,44.7
"species",16.99,44.67
"species",10.52,44.61
"species",10.92,44.54
"species",7.56,44.46
"species",9.07,44.45
"species",26.11,44.44
"species",11.32,44.43
"species",0.47,44.37
"species",11.95,44.36
"species",2.65,44.32
"species",8.32,44.23
"species",9.77,44.23
"species",9.97,44.22
"species",15.4,44.18
"species",6.23,44.16
"species",5.2,44.05
"species",12.05,44.04
"species",10.44,44.02
"species",12.54,43.99
"species",10.85,43.97
"species",4.05,43.96
"species",7.82,43.96
"species",11.09,43.94
