"","VECTOR","OCCURRENCE_ID","SOURCE_TYPE","LOCATION_TYPE","POLYGON_ADMIN","lat","lon","YEAR","COUNTRY","COUNTRY_ID","GAUL_AD0","STATUS"
"1","Aedes albopictus",1,"unpublished","point","-999",37.086981,-121.583333,"2001","United States of America","USA",259,NA
"2","Aedes albopictus",2,"unpublished","point","-999",34.083129,-118.083333,"2001","United States of America","USA",259,NA
"3","Aedes albopictus",3,"unpublished","point","-999",38.08333,-121.25,"2001","United States of America","USA",259,NA
"4","Aedes albopictus",4,"unpublished","point","-999",37.083324,-121.583333,"2001","United States of America","USA",259,NA
"5","Aedes albopictus",5,"unpublished","point","-999",34.083586,-118.25,"2001","United States of America","USA",259,NA
"6","Aedes albopictus",6,"unpublished","point","-999",34.08771,-117.916667,"2001","United States of America","USA",259,NA
"7","Aedes albopictus",7,"unpublished","point","-999",34.088792,-117.75,"2001","United States of America","USA",259,NA
"8","Aedes albopictus",8,"unpublished","point","-999",33.916604,-117.916667,"2001","United States of America","USA",259,NA
"9","Aedes albopictus",9,"unpublished","point","-999",33.789088,-117.916667,"2001","United States of America","USA",259,NA
"10","Aedes albopictus",10,"unpublished","point","-999",33.583171,-117.916667,"2001","United States of America","USA",259,NA
"11","Aedes albopictus",11,"unpublished","point","-999",33.252454,-117.25,"2001","United States of America","USA",259,NA
"12","Aedes albopictus",12,"unpublished","point","-999",34.083311,-118.083333,"2001","United States of America","USA",259,NA
"21","Aedes albopictus",21,"unpublished","polygon","2",-30.93,-51.83,"2014","Brazil","BRA",37,NA
"22","Aedes albopictus",22,"unpublished","polygon","2",-30.68,-51.45,"2014","Brazil","BRA",37,NA
"23","Aedes albopictus",23,"unpublished","polygon","2",-30.46,-51.64,"2014","Brazil","BRA",37,NA
"24","Aedes albopictus",24,"unpublished","polygon","2",-30.43,-51.79,"2014","Brazil","BRA",37,NA
"25","Aedes albopictus",25,"unpublished","polygon","2",-30.37,-51.32,"2014","Brazil","BRA",37,NA
"26","Aedes albopictus",26,"unpublished","polygon","2",-30.34,-54.37,"2014","Brazil","BRA",37,NA
"27","Aedes albopictus",27,"unpublished","polygon","2",-30.29,-51.89,"2014","Brazil","BRA",37,NA
"28","Aedes albopictus",28,"unpublished","polygon","2",-30.24,-52.98,"2014","Brazil","BRA",37,NA
"29","Aedes albopictus",29,"unpublished","polygon","2",-30.21,-53.55,"2014","Brazil","BRA",37,NA
"30","Aedes albopictus",30,"unpublished","polygon","2",-30.21,-50.87,"2014","Brazil","BRA",37,NA
"31","Aedes albopictus",31,"unpublished","polygon","2",-30.18,-51.74,"2014","Brazil","BRA",37,NA
"32","Aedes albopictus",32,"unpublished","polygon","2",-30.17,-51.44,"2014","Brazil","BRA",37,NA
"33","Aedes albopictus",33,"unpublished","polygon","2",-30.1,-51.16,"2014","Brazil","BRA",37,NA
"34","Aedes albopictus",34,"unpublished","polygon","2",-30.08,-51.48,"2014","Brazil","BRA",37,NA
"35","Aedes albopictus",35,"unpublished","polygon","2",-30.07,-52.07,"2014","Brazil","BRA",37,NA
"36","Aedes albopictus",36,"unpublished","polygon","2",-30,-51.06,"2014","Brazil","BRA",37,NA
"37","Aedes albopictus",37,"unpublished","polygon","2",-30,-51.56,"2014","Brazil","BRA",37,NA
"38","Aedes albopictus",38,"unpublished","polygon","2",-29.94,-50.12,"2014","Brazil","BRA",37,NA
"39","Aedes albopictus",39,"unpublished","polygon","2",-29.92,-51.18,"2014","Brazil","BRA",37,NA
"40","Aedes albopictus",40,"unpublished","polygon","2",-29.91,-50.26,"2014","Brazil","BRA",37,NA
"41","Aedes albopictus",41,"unpublished","polygon","2",-29.89,-50.96,"2014","Brazil","BRA",37,NA
"42","Aedes albopictus",42,"unpublished","polygon","2",-29.86,-50.56,"2014","Brazil","BRA",37,NA
"43","Aedes albopictus",43,"unpublished","polygon","2",-29.85,-51.17,"2014","Brazil","BRA",37,NA
"44","Aedes albopictus",44,"unpublished","polygon","2",-29.85,-51.28,"2014","Brazil","BRA",37,NA
"45","Aedes albopictus",45,"unpublished","polygon","2",-29.83,-52.12,"2014","Brazil","BRA",37,NA
"46","Aedes albopictus",46,"unpublished","polygon","2",-29.82,-51.13,"2014","Brazil","BRA",37,NA
"47","Aedes albopictus",47,"unpublished","polygon","2",-29.81,-51.51,"2014","Brazil","BRA",37,NA
"48","Aedes albopictus",48,"unpublished","polygon","2",-29.81,-54.14,"2014","Brazil","BRA",37,NA
"49","Aedes albopictus",49,"unpublished","polygon","2",-29.8,-53.32,"2014","Brazil","BRA",37,NA
"50","Aedes albopictus",50,"unpublished","polygon","2",-29.78,-53.82,"2014","Brazil","BRA",37,NA
"51","Aedes albopictus",51,"unpublished","polygon","2",-29.75,-52.99,"2014","Brazil","BRA",37,NA
"52","Aedes albopictus",52,"unpublished","polygon","2",-29.74,-51.14,"2014","Brazil","BRA",37,NA
"53","Aedes albopictus",53,"unpublished","polygon","2",-29.74,-51.84,"2014","Brazil","BRA",37,NA
"54","Aedes albopictus",54,"unpublished","polygon","2",-29.73,-51.06,"2014","Brazil","BRA",37,NA
"55","Aedes albopictus",55,"unpublished","polygon","2",-29.73,-52.54,"2014","Brazil","BRA",37,NA
"56","Aedes albopictus",56,"unpublished","polygon","2",-29.71,-52.78,"2014","Brazil","BRA",37,NA
"57","Aedes albopictus",57,"unpublished","polygon","2",-29.71,-51.37,"2014","Brazil","BRA",37,NA
"58","Aedes albopictus",58,"unpublished","polygon","2",-29.71,-51.51,"2014","Brazil","BRA",37,NA
"59","Aedes albopictus",59,"unpublished","polygon","2",-29.71,-53.13,"2014","Brazil","BRA",37,NA
"60","Aedes albopictus",60,"unpublished","polygon","2",-29.69,-54.8,"2014","Brazil","BRA",37,NA
"61","Aedes albopictus",61,"unpublished","polygon","2",-29.69,-51.25,"2014","Brazil","BRA",37,NA
"62","Aedes albopictus",62,"unpublished","polygon","2",-29.67,-51.05,"2014","Brazil","BRA",37,NA
"63","Aedes albopictus",63,"unpublished","polygon","2",-29.66,-50.86,"2014","Brazil","BRA",37,NA
"64","Aedes albopictus",64,"unpublished","polygon","2",-29.65,-51.18,"2014","Brazil","BRA",37,NA
"65","Aedes albopictus",65,"unpublished","polygon","2",-29.65,-52.43,"2014","Brazil","BRA",37,NA
"66","Aedes albopictus",66,"unpublished","polygon","2",-29.64,-50.93,"2014","Brazil","BRA",37,NA
"67","Aedes albopictus",67,"unpublished","polygon","2",-29.64,-50.56,"2014","Brazil","BRA",37,NA
"68","Aedes albopictus",68,"unpublished","polygon","2",-29.63,-50.77,"2014","Brazil","BRA",37,NA
"69","Aedes albopictus",69,"unpublished","polygon","2",-29.63,-52.99,"2014","Brazil","BRA",37,NA
"70","Aedes albopictus",70,"unpublished","polygon","2",-29.62,-50.19,"2014","Brazil","BRA",37,NA
"71","Aedes albopictus",71,"unpublished","polygon","2",-29.62,-51,"2014","Brazil","BRA",37,NA
"72","Aedes albopictus",72,"unpublished","polygon","2",-29.6,-54.24,"2014","Brazil","BRA",37,NA
"73","Aedes albopictus",73,"unpublished","polygon","2",-29.6,-51.09,"2014","Brazil","BRA",37,NA
"74","Aedes albopictus",74,"unpublished","polygon","2",-29.59,-50.9,"2014","Brazil","BRA",37,NA
"75","Aedes albopictus",75,"unpublished","polygon","2",-29.59,-51.84,"2014","Brazil","BRA",37,NA
"76","Aedes albopictus",76,"unpublished","polygon","2",-29.59,-51.16,"2014","Brazil","BRA",37,NA
"77","Aedes albopictus",77,"unpublished","polygon","2",-29.58,-51.34,"2014","Brazil","BRA",37,NA
"78","Aedes albopictus",78,"unpublished","polygon","2",-29.58,-51.73,"2014","Brazil","BRA",37,NA
"79","Aedes albopictus",79,"unpublished","polygon","2",-29.57,-50.8,"2014","Brazil","BRA",37,NA
"80","Aedes albopictus",80,"unpublished","polygon","2",-29.55,-52.2,"2014","Brazil","BRA",37,NA
"81","Aedes albopictus",81,"unpublished","polygon","2",-29.55,-52.04,"2014","Brazil","BRA",37,NA
"82","Aedes albopictus",82,"unpublished","polygon","2",-29.55,-54.45,"2014","Brazil","BRA",37,NA
"83","Aedes albopictus",83,"unpublished","polygon","2",-29.55,-51.55,"2014","Brazil","BRA",37,NA
"84","Aedes albopictus",84,"unpublished","polygon","2",-29.54,-51.63,"2014","Brazil","BRA",37,NA
"85","Aedes albopictus",85,"unpublished","polygon","2",-29.54,-51.24,"2014","Brazil","BRA",37,NA
"86","Aedes albopictus",86,"unpublished","polygon","2",-29.49,-49.96,"2014","Brazil","BRA",37,NA
"87","Aedes albopictus",87,"unpublished","polygon","2",-29.47,-50.78,"2014","Brazil","BRA",37,NA
"88","Aedes albopictus",88,"unpublished","polygon","2",-29.47,-54.64,"2014","Brazil","BRA",37,NA
"89","Aedes albopictus",89,"unpublished","polygon","2",-29.47,-51.77,"2014","Brazil","BRA",37,NA
"90","Aedes albopictus",90,"unpublished","polygon","2",-29.46,-50.16,"2014","Brazil","BRA",37,NA
"91","Aedes albopictus",91,"unpublished","polygon","2",-29.45,-51.09,"2014","Brazil","BRA",37,NA
"92","Aedes albopictus",92,"unpublished","polygon","2",-29.45,-55.13,"2014","Brazil","BRA",37,NA
"93","Aedes albopictus",93,"unpublished","polygon","2",-29.45,-52.02,"2014","Brazil","BRA",37,NA
"94","Aedes albopictus",94,"unpublished","polygon","2",-29.45,-50.09,"2014","Brazil","BRA",37,NA
"95","Aedes albopictus",95,"unpublished","polygon","2",-29.43,-53.38,"2014","Brazil","BRA",37,NA
"96","Aedes albopictus",96,"unpublished","polygon","2",-29.38,-52.11,"2014","Brazil","BRA",37,NA
"97","Aedes albopictus",97,"unpublished","polygon","2",-29.29,-52.92,"2014","Brazil","BRA",37,NA
"98","Aedes albopictus",98,"unpublished","polygon","2",-29.27,-50,"2014","Brazil","BRA",37,NA
"99","Aedes albopictus",99,"unpublished","polygon","2",-29.25,-51.59,"2014","Brazil","BRA",37,NA
"100","Aedes albopictus",100,"unpublished","polygon","2",-29.22,-51.93,"2014","Brazil","BRA",37,NA
"101","Aedes albopictus",101,"unpublished","polygon","2",-29.21,-50,"2014","Brazil","BRA",37,NA
"102","Aedes albopictus",102,"unpublished","polygon","2",-29.19,-49.83,"2014","Brazil","BRA",37,NA
"103","Aedes albopictus",103,"unpublished","polygon","2",-29.15,-49.61,"2014","Brazil","BRA",37,NA
"104","Aedes albopictus",104,"unpublished","polygon","2",-29.12,-49.74,"2014","Brazil","BRA",37,NA
"105","Aedes albopictus",105,"unpublished","polygon","2",-29.11,-51.54,"2014","Brazil","BRA",37,NA
"106","Aedes albopictus",106,"unpublished","polygon","2",-29.08,-49.66,"2014","Brazil","BRA",37,NA
"107","Aedes albopictus",107,"unpublished","polygon","2",-29.08,-51.04,"2014","Brazil","BRA",37,NA
"108","Aedes albopictus",108,"unpublished","polygon","2",-29.07,-53.23,"2014","Brazil","BRA",37,NA
"109","Aedes albopictus",109,"unpublished","polygon","2",-29.02,-49.47,"2014","Brazil","BRA",37,NA
"110","Aedes albopictus",110,"unpublished","polygon","2",-29,-49.85,"2014","Brazil","BRA",37,NA
"111","Aedes albopictus",111,"unpublished","polygon","2",-28.98,-51.57,"2014","Brazil","BRA",37,NA
"112","Aedes albopictus",112,"unpublished","polygon","2",-28.96,-51.05,"2014","Brazil","BRA",37,NA
"113","Aedes albopictus",113,"unpublished","polygon","2",-28.95,-49.46,"2014","Brazil","BRA",37,NA
"114","Aedes albopictus",114,"unpublished","polygon","2",-28.89,-49.7,"2014","Brazil","BRA",37,NA
"115","Aedes albopictus",115,"unpublished","polygon","2",-28.86,-49.46,"2014","Brazil","BRA",37,NA
"116","Aedes albopictus",116,"unpublished","polygon","2",-28.85,-51.91,"2014","Brazil","BRA",37,NA
"117","Aedes albopictus",117,"unpublished","polygon","2",-28.83,-49.59,"2014","Brazil","BRA",37,NA
"118","Aedes albopictus",118,"unpublished","polygon","2",-28.82,-49.85,"2014","Brazil","BRA",37,NA
"119","Aedes albopictus",119,"unpublished","polygon","2",-28.79,-49.5,"2014","Brazil","BRA",37,NA
"120","Aedes albopictus",120,"unpublished","polygon","2",-28.78,-49.26,"2014","Brazil","BRA",37,NA
"121","Aedes albopictus",121,"unpublished","polygon","2",-28.74,-49.36,"2014","Brazil","BRA",37,NA
"122","Aedes albopictus",122,"unpublished","polygon","2",-28.74,-54.16,"2014","Brazil","BRA",37,NA
"123","Aedes albopictus",123,"unpublished","polygon","2",-28.74,-49.75,"2014","Brazil","BRA",37,NA
"124","Aedes albopictus",124,"unpublished","polygon","2",-28.72,-53.52,"2014","Brazil","BRA",37,NA
"125","Aedes albopictus",125,"unpublished","polygon","2",-28.7,-49.58,"2014","Brazil","BRA",37,NA
"126","Aedes albopictus",126,"unpublished","polygon","2",-28.67,-49.03,"2014","Brazil","BRA",37,NA
"127","Aedes albopictus",127,"unpublished","polygon","2",-28.65,-49.13,"2014","Brazil","BRA",37,NA
"128","Aedes albopictus",128,"unpublished","polygon","2",-28.64,-49.27,"2014","Brazil","BRA",37,NA
"129","Aedes albopictus",129,"unpublished","polygon","2",-28.6,-49.32,"2014","Brazil","BRA",37,NA
"130","Aedes albopictus",130,"unpublished","polygon","2",-28.57,-49.14,"2014","Brazil","BRA",37,NA
"131","Aedes albopictus",131,"unpublished","polygon","2",-28.57,-49.53,"2014","Brazil","BRA",37,NA
"132","Aedes albopictus",132,"unpublished","polygon","2",-28.51,-49.5,"2014","Brazil","BRA",37,NA
"133","Aedes albopictus",133,"unpublished","polygon","2",-28.49,-49.32,"2014","Brazil","BRA",37,NA
"134","Aedes albopictus",134,"unpublished","polygon","2",-28.49,-49.2,"2014","Brazil","BRA",37,NA
"135","Aedes albopictus",135,"unpublished","polygon","2",-28.48,-49.04,"2014","Brazil","BRA",37,NA
"136","Aedes albopictus",136,"unpublished","polygon","2",-28.47,-48.83,"2014","Brazil","BRA",37,NA
"137","Aedes albopictus",137,"unpublished","polygon","2",-28.46,-52.81,"2014","Brazil","BRA",37,NA
"138","Aedes albopictus",138,"unpublished","polygon","2",-28.45,-48.94,"2014","Brazil","BRA",37,NA
"139","Aedes albopictus",139,"unpublished","polygon","2",-28.38,-49.45,"2014","Brazil","BRA",37,NA
"140","Aedes albopictus",140,"unpublished","polygon","2",-28.36,-53.55,"2014","Brazil","BRA",37,NA
"141","Aedes albopictus",141,"unpublished","polygon","2",-28.35,-49.16,"2014","Brazil","BRA",37,NA
"142","Aedes albopictus",142,"unpublished","polygon","2",-28.35,-49.02,"2014","Brazil","BRA",37,NA
"143","Aedes albopictus",143,"unpublished","polygon","2",-28.3,-53.92,"2014","Brazil","BRA",37,NA
"144","Aedes albopictus",144,"unpublished","polygon","2",-28.28,-49.37,"2014","Brazil","BRA",37,NA
"145","Aedes albopictus",145,"unpublished","polygon","2",-28.25,-54.32,"2014","Brazil","BRA",37,NA
"146","Aedes albopictus",146,"unpublished","polygon","2",-28.25,-49.17,"2014","Brazil","BRA",37,NA
"147","Aedes albopictus",147,"unpublished","polygon","2",-28.23,-49,"2014","Brazil","BRA",37,NA
"148","Aedes albopictus",148,"unpublished","polygon","2",-28.22,-48.84,"2014","Brazil","BRA",37,NA
"149","Aedes albopictus",149,"unpublished","polygon","2",-28.21,-48.7,"2014","Brazil","BRA",37,NA
"150","Aedes albopictus",150,"unpublished","polygon","2",-28.21,-53.73,"2014","Brazil","BRA",37,NA
"151","Aedes albopictus",151,"unpublished","polygon","2",-28.18,-54.04,"2014","Brazil","BRA",37,NA
"152","Aedes albopictus",152,"unpublished","polygon","2",-28.16,-53.48,"2014","Brazil","BRA",37,NA
"153","Aedes albopictus",153,"unpublished","polygon","2",-28.12,-49.31,"2014","Brazil","BRA",37,NA
"154","Aedes albopictus",154,"unpublished","polygon","2",-28.12,-48.97,"2014","Brazil","BRA",37,NA
"155","Aedes albopictus",155,"unpublished","polygon","2",-28.08,-49.19,"2014","Brazil","BRA",37,NA
"156","Aedes albopictus",156,"unpublished","polygon","2",-28.03,-48.66,"2014","Brazil","BRA",37,NA
"157","Aedes albopictus",157,"unpublished","polygon","2",-28.03,-54.53,"2014","Brazil","BRA",37,NA
"158","Aedes albopictus",158,"unpublished","polygon","2",-28.01,-49.18,"2014","Brazil","BRA",37,NA
"159","Aedes albopictus",159,"unpublished","polygon","2",-28,-50.35,"2014","Brazil","BRA",37,NA
"160","Aedes albopictus",160,"unpublished","polygon","2",-27.98,-53.89,"2014","Brazil","BRA",37,NA
"161","Aedes albopictus",161,"unpublished","polygon","2",-27.96,-48.94,"2014","Brazil","BRA",37,NA
"162","Aedes albopictus",162,"unpublished","polygon","2",-27.95,-48.74,"2014","Brazil","BRA",37,NA
"163","Aedes albopictus",163,"unpublished","polygon","2",-27.93,-52.91,"2014","Brazil","BRA",37,NA
"164","Aedes albopictus",164,"unpublished","polygon","2",-27.9,-53.73,"2014","Brazil","BRA",37,NA
"165","Aedes albopictus",165,"unpublished","polygon","2",-27.87,-49.16,"2014","Brazil","BRA",37,NA
"166","Aedes albopictus",166,"unpublished","polygon","2",-27.84,-54.52,"2014","Brazil","BRA",37,NA
"167","Aedes albopictus",167,"unpublished","polygon","2",-27.81,-53.65,"2014","Brazil","BRA",37,NA
"168","Aedes albopictus",168,"unpublished","polygon","2",-27.78,-53.24,"2014","Brazil","BRA",37,NA
"169","Aedes albopictus",169,"unpublished","polygon","2",-27.76,-48.66,"2014","Brazil","BRA",37,NA
"170","Aedes albopictus",170,"unpublished","polygon","2",-27.75,-48.92,"2014","Brazil","BRA",37,NA
"171","Aedes albopictus",171,"unpublished","polygon","2",-27.75,-48.79,"2014","Brazil","BRA",37,NA
"172","Aedes albopictus",172,"unpublished","polygon","2",-27.74,-54.13,"2014","Brazil","BRA",37,NA
"173","Aedes albopictus",173,"unpublished","polygon","2",-27.72,-54.27,"2014","Brazil","BRA",37,NA
"174","Aedes albopictus",174,"unpublished","polygon","2",-27.72,-49.33,"2014","Brazil","BRA",37,NA
"175","Aedes albopictus",175,"unpublished","polygon","2",-27.7,-53.21,"2014","Brazil","BRA",37,NA
"176","Aedes albopictus",176,"unpublished","polygon","2",-27.69,-53.01,"2014","Brazil","BRA",37,NA
"177","Aedes albopictus",177,"unpublished","polygon","2",-27.68,-54.1,"2014","Brazil","BRA",37,NA
"178","Aedes albopictus",178,"unpublished","polygon","2",-27.68,-49.09,"2014","Brazil","BRA",37,NA
"179","Aedes albopictus",179,"unpublished","polygon","2",-27.63,-52.25,"2014","Brazil","BRA",37,NA
"180","Aedes albopictus",180,"unpublished","polygon","2",-27.63,-53.16,"2014","Brazil","BRA",37,NA
"181","Aedes albopictus",181,"unpublished","polygon","2",-27.61,-48.49,"2014","Brazil","BRA",37,NA
"182","Aedes albopictus",182,"unpublished","polygon","2",-27.59,-54.3,"2014","Brazil","BRA",37,NA
"183","Aedes albopictus",183,"unpublished","polygon","2",-27.59,-48.66,"2014","Brazil","BRA",37,NA
"184","Aedes albopictus",184,"unpublished","polygon","2",-27.59,-49.56,"2014","Brazil","BRA",37,NA
"185","Aedes albopictus",185,"unpublished","polygon","2",-27.59,-48.84,"2014","Brazil","BRA",37,NA
"186","Aedes albopictus",186,"unpublished","polygon","2",-27.58,-54.66,"2014","Brazil","BRA",37,NA
"187","Aedes albopictus",187,"unpublished","polygon","2",-27.58,-53.75,"2014","Brazil","BRA",37,NA
"188","Aedes albopictus",188,"unpublished","polygon","2",-27.55,-49.69,"2014","Brazil","BRA",37,NA
"189","Aedes albopictus",189,"unpublished","polygon","2",-27.51,-49.39,"2014","Brazil","BRA",37,NA
"190","Aedes albopictus",190,"unpublished","polygon","2",-27.5,-53.38,"2014","Brazil","BRA",37,NA
"191","Aedes albopictus",191,"unpublished","polygon","2",-27.49,-53.52,"2014","Brazil","BRA",37,NA
"192","Aedes albopictus",192,"unpublished","polygon","2",-27.49,-49.24,"2014","Brazil","BRA",37,NA
"193","Aedes albopictus",193,"unpublished","polygon","2",-27.49,-51.54,"2014","Brazil","BRA",37,NA
"194","Aedes albopictus",194,"unpublished","polygon","2",-27.49,-48.82,"2014","Brazil","BRA",37,NA
"195","Aedes albopictus",195,"unpublished","polygon","2",-27.47,-49.83,"2014","Brazil","BRA",37,NA
"196","Aedes albopictus",196,"unpublished","polygon","2",-27.46,-53.18,"2014","Brazil","BRA",37,NA
"197","Aedes albopictus",197,"unpublished","polygon","2",-27.46,-51.78,"2014","Brazil","BRA",37,NA
"198","Aedes albopictus",198,"unpublished","polygon","2",-27.44,-49.54,"2014","Brazil","BRA",37,NA
"199","Aedes albopictus",199,"unpublished","polygon","2",-27.44,-49.75,"2014","Brazil","BRA",37,NA
"200","Aedes albopictus",200,"unpublished","polygon","2",-27.43,-48.71,"2014","Brazil","BRA",37,NA
"201","Aedes albopictus",201,"unpublished","polygon","2",-27.43,-53.93,"2014","Brazil","BRA",37,NA
"202","Aedes albopictus",202,"unpublished","polygon","2",-27.43,-51.93,"2014","Brazil","BRA",37,NA
"203","Aedes albopictus",203,"unpublished","polygon","2",-27.42,-51.64,"2014","Brazil","BRA",37,NA
"204","Aedes albopictus",204,"unpublished","polygon","2",-27.42,-49.06,"2014","Brazil","BRA",37,NA
"205","Aedes albopictus",205,"unpublished","polygon","2",-27.42,-51.23,"2014","Brazil","BRA",37,NA
"206","Aedes albopictus",206,"unpublished","polygon","2",-27.4,-49.35,"2014","Brazil","BRA",37,NA
"207","Aedes albopictus",207,"unpublished","polygon","2",-27.37,-48.58,"2014","Brazil","BRA",37,NA
"208","Aedes albopictus",208,"unpublished","polygon","2",-27.37,-51.81,"2014","Brazil","BRA",37,NA
"209","Aedes albopictus",209,"unpublished","polygon","2",-27.37,-49.9,"2014","Brazil","BRA",37,NA
"210","Aedes albopictus",210,"unpublished","polygon","2",-27.36,-51.88,"2014","Brazil","BRA",37,NA
"211","Aedes albopictus",211,"unpublished","polygon","2",-27.36,-53.77,"2014","Brazil","BRA",37,NA
"212","Aedes albopictus",212,"unpublished","polygon","2",-27.36,-54.11,"2014","Brazil","BRA",37,NA
"213","Aedes albopictus",213,"unpublished","polygon","2",-27.33,-48.88,"2014","Brazil","BRA",37,NA
"214","Aedes albopictus",214,"unpublished","polygon","2",-27.33,-54.02,"2014","Brazil","BRA",37,NA
"215","Aedes albopictus",215,"unpublished","polygon","2",-27.33,-49.59,"2014","Brazil","BRA",37,NA
"216","Aedes albopictus",216,"unpublished","polygon","2",-27.32,-53.37,"2014","Brazil","BRA",37,NA
